name,type,url,requirements
CUNY Spring Forward internship,internship,https://www.cuny.edu/about/administration/offices/ocip/students/spring-forward/,"['Must have NO prior paid internship experience during your CUNY career', 'Must be CUNY undergraduate student this Fall 2024 AND Spring 2025 semesters', 'Must be at least 18 years old as of September 9th, 2024', 'Must have a grade point average of at least 2.0', 'Must be available to work in United States', 'Interested in a career in one of these fields: Marketing, communications, or public relations, Community services, non-profits, or social services, Science, technology, engineering or environmental preservation, Healthcare services']"
CUNY Career Launch (summer internships),internship,https://www.cuny.edu/about/administration/offices/ocip/students/careerlaunch/,"['Must be 18 to 24 years old', 'Have no prior paid internship experince during college career', 'Must be CUNY undergraduate student enrolled in Spring 2024', 'Must have a grade point average of at least 2.0 or above', 'Must be available to work in United States']"
